numdep,circ,parti,score
01,1.0,l_C,33.89
01,1.0,l_D,26.78
01,1.0,l_ED,15.46
01,1.0,l_EG,13.48
01,1.0,l_G,9.23
01,1.0,l_autre,1.15
01,2.0,l_C,35.9
01,2.0,l_D,24.52
01,2.0,l_ED,19.08
01,2.0,l_EG,19.18
01,2.0,l_autre,1.31
01,3.0,l_C,45.3
01,3.0,l_D,21.41
01,3.0,l_ED,11.2
01,3.0,l_EG,15.11
01,3.0,l_G,4.49
01,3.0,l_autre,2.49
01,4.0,l_C,36.0
01,4.0,l_D,16.68
01,4.0,l_ED,20.51
01,4.0,l_EG,12.46
01,4.0,l_G,4.71
01,4.0,l_autre,9.65
01,5.0,l_C,25.13
01,5.0,l_D,35.0
01,5.0,l_ED,17.13
01,5.0,l_EG,16.19
01,5.0,l_G,2.83
01,5.0,l_autre,3.7
02,1.0,l_C,28.79
02,1.0,l_D,16.2
02,1.0,l_ED,27.54
02,1.0,l_EG,12.07
02,1.0,l_G,13.92
02,1.0,l_autre,1.49
02,2.0,l_D,36.48
02,2.0,l_ED,27.0
02,2.0,l_EG,16.07
02,2.0,l_G,7.54
02,2.0,l_autre,12.9
02,3.0,l_C,18.1
02,3.0,l_D,15.22
02,3.0,l_ED,29.42
02,3.0,l_EG,12.87
02,3.0,l_G,23.76
02,3.0,l_autre,0.65
02,4.0,l_C,28.07
02,4.0,l_D,20.2
02,4.0,l_ED,24.17
02,4.0,l_EG,18.82
02,4.0,l_G,7.96
02,4.0,l_autre,0.78
02,5.0,l_C,35.97
02,5.0,l_D,8.17
02,5.0,l_ED,27.53
02,5.0,l_EG,17.33
02,5.0,l_autre,11.0
03,1.0,l_C,29.05
03,1.0,l_D,20.25
03,1.0,l_ED,12.26
03,1.0,l_EG,25.63
03,1.0,l_G,11.81
03,1.0,l_autre,1.0
03,2.0,l_C,26.11
03,2.0,l_D,24.31
03,2.0,l_ED,12.19
03,2.0,l_EG,24.15
03,2.0,l_G,11.39
03,2.0,l_autre,1.84
03,3.0,l_C,34.44
03,3.0,l_D,19.77
03,3.0,l_ED,16.03
03,3.0,l_EG,14.43
03,3.0,l_G,14.03
03,3.0,l_autre,1.28
04,1.0,l_C,34.22
04,1.0,l_D,3.94
04,1.0,l_ED,21.88
04,1.0,l_EG,27.25
04,1.0,l_G,2.77
04,1.0,l_autre,9.94
04,2.0,l_C,44.04
04,2.0,l_D,15.98
04,2.0,l_ED,15.15
04,2.0,l_EG,22.08
04,2.0,l_G,1.11
04,2.0,l_autre,1.62
05,1.0,l_C,31.93
05,1.0,l_D,15.98
05,1.0,l_ED,13.58
05,1.0,l_EG,18.39
05,1.0,l_G,11.45
05,1.0,l_autre,8.67
05,2.0,l_C,44.26
05,2.0,l_D,12.97
05,2.0,l_ED,10.69
05,2.0,l_EG,20.17
05,2.0,l_autre,11.9
06,1.0,l_C,32.35
06,1.0,l_D,35.51
06,1.0,l_ED,13.26
06,1.0,l_EG,14.42
06,1.0,l_G,3.35
06,1.0,l_autre,1.11
06,2.0,l_C,35.34
06,2.0,l_D,0.47
06,2.0,l_ED,24.45
06,2.0,l_EG,17.88
06,2.0,l_autre,21.86
06,3.0,l_C,31.91
06,3.0,l_D,3.87
06,3.0,l_ED,23.1
06,3.0,l_EG,14.33
06,3.0,l_G,3.22
06,3.0,l_autre,23.57
06,4.0,l_C,28.23
06,4.0,l_D,20.64
06,4.0,l_ED,26.73
06,4.0,l_EG,17.2
06,4.0,l_autre,7.19
06,5.0,l_D,34.54
06,5.0,l_ED,25.64
06,5.0,l_EG,14.58
06,5.0,l_G,3.84
06,5.0,l_autre,21.42
06,6.0,l_C,33.04
06,6.0,l_D,27.45
06,6.0,l_ED,23.16
06,6.0,l_EG,11.98
06,6.0,l_G,1.56
06,6.0,l_autre,2.82
06,7.0,l_C,32.08
06,7.0,l_D,33.39
06,7.0,l_ED,17.32
06,7.0,l_EG,16.04
06,7.0,l_G,0.51
06,7.0,l_autre,0.66
06,8.0,l_C,31.21
06,8.0,l_D,31.58
06,8.0,l_ED,22.0
06,8.0,l_EG,12.78
06,8.0,l_G,1.85
06,8.0,l_autre,0.58
06,9.0,l_C,34.5
06,9.0,l_D,29.25
06,9.0,l_ED,19.94
06,9.0,l_EG,13.26
06,9.0,l_G,2.04
06,9.0,l_autre,1.0
07,1.0,l_C,23.61
