year,Departement,Circ,Parti,Score
1993.0,ain,1.0,Autres,0.0
1993.0,ain,1.0,D,46.47
1993.0,ain,1.0,ED,10.28
1993.0,ain,1.0,EG,19.15
1993.0,ain,1.0,G,24.11
1993.0,ain,2.0,D,46.53
1993.0,ain,2.0,ED,18.79
1993.0,ain,2.0,EG,20.73
1993.0,ain,2.0,G,13.95
1993.0,ain,3.0,C,51.59
1993.0,ain,3.0,ED,12.41
1993.0,ain,3.0,EG,18.83
1993.0,ain,3.0,G,17.18
1993.0,ain,4.0,C,48.86
1993.0,ain,4.0,ED,17.46
1993.0,ain,4.0,EG,17.72
1993.0,ain,4.0,G,15.95
1993.0,aisne,1.0,D,42.65
1993.0,aisne,1.0,ED,12.33
1993.0,aisne,1.0,EG,21.31
1993.0,aisne,1.0,G,23.7
1993.0,aisne,2.0,Autres,1.44
1993.0,aisne,2.0,C,36.58
1993.0,aisne,2.0,D,4.0
1993.0,aisne,2.0,ED,11.68
1993.0,aisne,2.0,EG,37.67
1993.0,aisne,2.0,G,8.64
1993.0,aisne,3.0,D,40.13
1993.0,aisne,3.0,ED,8.68
1993.0,aisne,3.0,EG,15.01
1993.0,aisne,3.0,G,36.18
1993.0,aisne,4.0,C,30.13
1993.0,aisne,4.0,D,4.15
1993.0,aisne,4.0,ED,15.5
1993.0,aisne,4.0,EG,24.87
1993.0,aisne,4.0,G,25.36
1993.0,aisne,5.0,C,43.75
1993.0,aisne,5.0,D,1.54
1993.0,aisne,5.0,ED,15.12
1993.0,aisne,5.0,EG,21.16
1993.0,aisne,5.0,G,18.43
1993.0,allier,1.0,C,13.35
1993.0,allier,1.0,D,28.45
1993.0,allier,1.0,ED,8.08
1993.0,allier,1.0,EG,22.79
1993.0,allier,1.0,G,27.33
1993.0,allier,2.0,C,34.08
1993.0,allier,2.0,D,3.11
1993.0,allier,2.0,ED,7.45
1993.0,allier,2.0,EG,42.9
1993.0,allier,2.0,G,12.46
1993.0,allier,3.0,C,37.9
1993.0,allier,3.0,D,2.23
1993.0,allier,3.0,ED,7.41
1993.0,allier,3.0,EG,42.78
1993.0,allier,3.0,G,9.67
1993.0,allier,4.0,Autres,1.51
1993.0,allier,4.0,C,39.41
1993.0,allier,4.0,D,4.89
1993.0,allier,4.0,ED,13.33
1993.0,allier,4.0,EG,40.85
1993.0,alpes-de-haute-provence,1.0,D,37.95
1993.0,alpes-de-haute-provence,1.0,ED,12.9
1993.0,alpes-de-haute-provence,1.0,EG,27.27
1993.0,alpes-de-haute-provence,1.0,G,21.88
1993.0,alpes-de-haute-provence,2.0,D,38.19
1993.0,alpes-de-haute-provence,2.0,ED,14.58
1993.0,alpes-de-haute-provence,2.0,EG,25.34
1993.0,alpes-de-haute-provence,2.0,G,21.9
1993.0,alpes-maritimes,1.0,Autres,0.85
1993.0,alpes-maritimes,1.0,C,35.69
1993.0,alpes-maritimes,1.0,D,3.5
1993.0,alpes-maritimes,1.0,ED,26.3
1993.0,alpes-maritimes,1.0,EG,33.65
1993.0,alpes-maritimes,2.0,Autres,1.19
1993.0,alpes-maritimes,2.0,D,37.86
1993.0,alpes-maritimes,2.0,ED,31.16
1993.0,alpes-maritimes,2.0,EG,14.95
1993.0,alpes-maritimes,2.0,G,14.84
1993.0,alpes-maritimes,3.0,Autres,2.47
1993.0,alpes-maritimes,3.0,C,20.03
1993.0,alpes-maritimes,3.0,D,18.19
1993.0,alpes-maritimes,3.0,ED,27.49
1993.0,alpes-maritimes,3.0,EG,16.66
1993.0,alpes-maritimes,3.0,G,15.15
1993.0,alpes-maritimes,4.0,C,20.36
1993.0,alpes-maritimes,4.0,D,29.64
1993.0,alpes-maritimes,4.0,ED,20.12
1993.0,alpes-maritimes,4.0,EG,18.22
1993.0,alpes-maritimes,4.0,G,11.65
1993.0,alpes-maritimes,5.0,C,20.86
1993.0,alpes-maritimes,5.0,D,24.61
1993.0,alpes-maritimes,5.0,ED,19.97
1993.0,alpes-maritimes,5.0,EG,23.85
1993.0,alpes-maritimes,5.0,G,10.7
1993.0,alpes-maritimes,6.0,Autres,5.21
1993.0,alpes-maritimes,6.0,C,11.79
1993.0,alpes-maritimes,6.0,D,42.3
1993.0,alpes-maritimes,6.0,ED,21.78
1993.0,alpes-maritimes,6.0,EG,18.92
1993.0,alpes-maritimes,7.0,Autres,3.44
1993.0,alpes-maritimes,7.0,C,43.79
1993.0,alpes-maritimes,7.0,ED,24.5
1993.0,alpes-maritimes,7.0,EG,19.07
1993.0,alpes-maritimes,7.0,G,9.19
1993.0,alpes-maritimes,8.0,C,61.94
1993.0,alpes-maritimes,8.0,D,0.62
1993.0,alpes-maritimes,8.0,ED,19.22
1993.0,alpes-maritimes,8.0,EG,11.84
1993.0,alpes-maritimes,8.0,G,6.38
1993.0,alpes-maritimes,9.0,D,48.64
1993.0,alpes-maritimes,9.0,ED,20.4
1993.0,alpes-maritimes,9.0,EG,21.86
1993.0,alpes-maritimes,9.0,G,9.1
1993.0,ardeche,1.0,Autres,1.04
1993.0,ardeche,1.0,C,46.01
1993.0,ardeche,1.0,ED,10.01
1993.0,ardeche,1.0,EG,21.38
1993.0,ardeche,1.0,G,21.55
1993.0,ardeche,2.0,Autres,1.0
1993.0,ardeche,2.0,C,18.18
1993.0,ardeche,2.0,D,34.94
1993.0,ardeche,2.0,ED,10.99
1993.0,ardeche,2.0,EG,20.08
1993.0,ardeche,2.0,G,14.81
1993.0,ardeche,3.0,Autres,2.36
1993.0,ardeche,3.0,C,17.45
1993.0,ardeche,3.0,D,29.52
1993.0,ardeche,3.0,ED,10.07
1993.0,ardeche,3.0,EG,20.28
1993.0,ardeche,3.0,G,20.34
1993.0,ardennes,1.0,Autres,1.98
1993.0,ardennes,1.0,C,39.24
1993.0,ardennes,1.0,ED,14.27
1993.0,ardennes,1.0,EG,21.38
1993.0,ardennes,1.0,G,23.13
1993.0,ardennes,2.0,Autres,2.07
1993.0,ardennes,2.0,C,27.72
1993.0,ardennes,2.0,D,5.24
1993.0,ardennes,2.0,ED,14.81
1993.0,ardennes,2.0,EG,27.85
1993.0,ardennes,2.0,G,22.29
1993.0,ardennes,3.0,D,47.97
1993.0,ardennes,3.0,ED,10.58
1993.0,ardennes,3.0,EG,17.02
1993.0,ardennes,3.0,G,24.43
1993.0,ariege,1.0,Autres,0.44
1993.0,ariege,1.0,D,30.07
1993.0,ariege,1.0,ED,8.53
1993.0,ariege,1.0,EG,21.77
1993.0,ariege,1.0,G,39.19
1993.0,ariege,2.0,D,38.19
1993.0,ariege,2.0,ED,8.42
1993.0,ariege,2.0,EG,20.67
1993.0,ariege,2.0,G,32.72
1993.0,aube,1.0,Autres,4.75
1993.0,aube,1.0,C,35.06
1993.0,aube,1.0,D,15.34
1993.0,aube,1.0,ED,15.63
1993.0,aube,1.0,EG,14.26
