,Candidat,Circ,Departement,Parti,Score
0,Jacques Boyon,1.0,-circonscription-ain,RPR,"46,47%"
1,Pierre Fromont,1.0,-circonscription-ain,Divers gauche,"24,11%"
2,Bernard Aulagne,1.0,-circonscription-ain,FN,"10,28%"
3,Marc de Antoni,1.0,-circonscription-ain,Les Verts,"9,86%"
4,Lionel Mornet,1.0,-circonscription-ain,PCF,"3,98%"
5,Nicole Giret,1.0,-circonscription-ain,"
									Les nouveaux écologistes									","2,55%"
6,Yves Petiot,1.0,-circonscription-ain,LO,"1,54%"
7,Jean-François Mortel,1.0,-circonscription-ain,LCR,"1,22%"
8,Jean-Claude Lefer,1.0,-circonscription-ain,Divers,"0,00%"
9,Lucien Guichon,2.0,-circonscription-ain,RPR,"46,53%"
10,Jean Alcaraz,2.0,-circonscription-ain,FN,"18,79%"
11,Eliane Drut-Gorju,2.0,-circonscription-ain,PS,"13,95%"
12,Eric Gilbert,2.0,-circonscription-ain,Les Verts,"12,77%"
13,Georges Arpin,2.0,-circonscription-ain,PCF,"7,96%"
14,Charles Millon,3.0,-circonscription-ain,UDF,"51,59%"
15,Pierre Carroz,3.0,-circonscription-ain,PS,"17,18%"
16,Olivier Wyssa,3.0,-circonscription-ain,FN,"12,41%"
17,Albert Delavière,3.0,-circonscription-ain,Génération écologie,"9,43%"
18,Jean-Pierre Merlo,3.0,-circonscription-ain,PCF,"5,97%"
19,Jean-Michel Verd,3.0,-circonscription-ain,"
									Les nouveaux écologistes									","3,43%"
20,Michel Voisin,4.0,-circonscription-ain,UDF,"48,86%"
21,André Clavel,4.0,-circonscription-ain,FN,"17,46%"
22,Michel Raymond,4.0,-circonscription-ain,PS,"15,95%"
23,Alain Moussel,4.0,-circonscription-ain,Génération écologie,"8,51%"
24,Christian Desmaris,4.0,-circonscription-ain,PCF,"5,34%"
25,Dominique Aubert,4.0,-circonscription-ain,"
									Les nouveaux écologistes									","3,87%"
26,Jean-Claude Lamant,1.0,-circonscription-aisne,RPR,"40,88%"
27,René Dosière,1.0,-circonscription-aisne,PS,"23,70%"
28,Michel Saleck,1.0,-circonscription-aisne,FN,"12,33%"
29,Dominique Lacombe,1.0,-circonscription-aisne,PCF,"7,24%"
30,Patrick Degembe,1.0,-circonscription-aisne,Les Verts,"6,34%"
31,Michelle Berdal,1.0,-circonscription-aisne,"
									Les nouveaux écologistes									","4,09%"
32,Jean-Loup Pernelle,1.0,-circonscription-aisne,LO,"3,64%"
33,Philippe Jarno,1.0,-circonscription-aisne,"
									CNI									","1,77%"
34,Charles Baur,2.0,-circonscription-aisne,UDF,"36,58%"
35,Daniel Le Meur,2.0,-circonscription-aisne,PCF,"21,06%"
36,François Piquet,2.0,-circonscription-aisne,FN,"11,68%"
37,Yves Mennesson,2.0,-circonscription-aisne,PS,"8,64%"
38,Jean-Robert Boutreux,2.0,-circonscription-aisne,Génération écologie,"5,06%"
39,Corinne Lemire,2.0,-circonscription-aisne,"
									Les nouveaux écologistes									","4,52%"
40,Denis Lefèvre,2.0,-circonscription-aisne,Mouvement des radicaux de gauche,"3,20%"
41,Yves Journel,2.0,-circonscription-aisne,Divers droite,"2,23%"
42,Daniel Huriez,2.0,-circonscription-aisne,Parti des travailleurs,"2,20%"
43,Raymond Ducamp,2.0,-circonscription-aisne,Divers droite,"1,77%"
44,Didier Hernoux,2.0,-circonscription-aisne,LO,"1,63%"
45,René Huel,2.0,-circonscription-aisne,"
									Union des indépendants									","1,44%"
46,Christian Cabrol,3.0,-circonscription-aisne,RPR,"37,99%"
47,Jean-Pierre Balligand,3.0,-circonscription-aisne,PS,"36,18%"
48,Michel Corniaux,3.0,-circonscription-aisne,PCF,"8,99%"
49,René Goarin,3.0,-circonscription-aisne,FN,"8,68%"
50,José Meurice,3.0,-circonscription-aisne,Les Verts,"3,71%"
51,Michel Flamant,3.0,-circonscription-aisne,"
									Les nouveaux écologistes									","2,31%"
52,Claude Péronne,3.0,-circonscription-aisne,Divers droite,"1,33%"
53,Henri-Michel Falavigna,3.0,-circonscription-aisne,"
									CNI									","0,81%"
54,Emmanuelle Bouquillon,4.0,-circonscription-aisne,UDF,"30,13%"
55,Bernard Lefranc,4.0,-circonscription-aisne,PS,"25,36%"
56,Wallerand de Saint-Just,4.0,-circonscription-aisne,FN,"15,50%"
57,Michel Carreau,4.0,-circonscription-aisne,PCF,"10,70%"
58,Alain Colpin,4.0,-circonscription-aisne,Les Verts,"6,42%"
59,Arlette Grosz,4.0,-circonscription-aisne,"
									Les nouveaux écologistes									","4,26%"
60,Patrick Vallas,4.0,-circonscription-aisne,"
									CNI									","4,15%"
61,Jean-Claude Garault,4.0,-circonscription-aisne,LO,"3,49%"
