year,Departement,Parti,Score
1988.0,ain,C,21.21
1988.0,ain,D,19.12
1988.0,ain,ED,16.09
1988.0,ain,EG,12.18
1988.0,ain,G,31.41
1988.0,aisne,C,13.32
1988.0,aisne,D,17.17
1988.0,aisne,ED,13.41
1988.0,aisne,EG,16.56
1988.0,aisne,G,39.55
1988.0,allier,C,15.0
1988.0,allier,D,19.46
1988.0,allier,ED,10.14
1988.0,allier,EG,25.12
1988.0,allier,G,30.28
1988.0,alpes-de-haute-provence,C,15.69
1988.0,alpes-de-haute-provence,D,18.35
1988.0,alpes-de-haute-provence,ED,16.72
1988.0,alpes-de-haute-provence,EG,18.88
1988.0,alpes-de-haute-provence,G,30.37
1988.0,alpes-maritimes,C,14.97
1988.0,alpes-maritimes,D,24.3
1988.0,alpes-maritimes,ED,24.24
1988.0,alpes-maritimes,EG,12.11
1988.0,alpes-maritimes,G,24.38
1988.0,ardeche,C,19.04
1988.0,ardeche,D,19.99
1988.0,ardeche,ED,12.89
1988.0,ardeche,EG,17.43
1988.0,ardeche,G,30.64
1988.0,ardennes,C,14.23
1988.0,ardennes,D,17.33
1988.0,ardennes,ED,15.07
1988.0,ardennes,EG,16.17
1988.0,ardennes,G,37.19
1988.0,ariege,C,10.42
1988.0,ariege,D,18.18
1988.0,ariege,ED,10.29
1988.0,ariege,EG,19.71
1988.0,ariege,G,41.4
1988.0,aube,C,17.78
1988.0,aube,D,20.49
1988.0,aube,ED,14.42
1988.0,aube,EG,13.6
1988.0,aube,G,33.71
1988.0,aude,C,10.33
1988.0,aude,D,17.65
1988.0,aude,ED,13.72
1988.0,aude,EG,18.17
1988.0,aude,G,40.12
1988.0,aveyron,C,18.5
1988.0,aveyron,D,25.77
1988.0,aveyron,ED,8.87
1988.0,aveyron,EG,13.3
1988.0,aveyron,G,33.58
1988.0,bas-rhin,C,18.6
1988.0,bas-rhin,D,17.59
1988.0,bas-rhin,ED,21.94
1988.0,bas-rhin,EG,13.67
1988.0,bas-rhin,G,28.19
1988.0,bouches-du-rhone,C,13.9
1988.0,bouches-du-rhone,D,14.77
1988.0,bouches-du-rhone,ED,26.4
1988.0,bouches-du-rhone,EG,17.97
1988.0,bouches-du-rhone,G,26.96
1988.0,calvados,C,18.2
1988.0,calvados,D,19.89
1988.0,calvados,ED,11.06
1988.0,calvados,EG,13.45
1988.0,calvados,G,37.41
1988.0,cantal,C,11.52
1988.0,cantal,D,37.45
1988.0,cantal,ED,7.1
1988.0,cantal,EG,12.14
1988.0,cantal,G,31.79
1988.0,charente,C,15.29
1988.0,charente,D,19.56
1988.0,charente,ED,8.89
1988.0,charente,EG,14.86
1988.0,charente,G,41.39
1988.0,charente-maritime,C,18.08
1988.0,charente-maritime,D,20.18
1988.0,charente-maritime,ED,11.17
1988.0,charente-maritime,EG,14.15
1988.0,charente-maritime,G,36.43
1988.0,cher,C,16.57
1988.0,cher,D,18.72
1988.0,cher,ED,11.57
1988.0,cher,EG,19.85
1988.0,cher,G,33.29
1988.0,correze,C,4.85
1988.0,correze,D,39.18
1988.0,correze,ED,5.93
1988.0,correze,EG,21.12
1988.0,correze,G,28.93
1988.0,corse-du-sud,C,14.19
1988.0,corse-du-sud,D,31.73
1988.0,corse-du-sud,ED,14.81
1988.0,corse-du-sud,EG,13.45
1988.0,corse-du-sud,G,25.83
1988.0,cote-d-or,C,16.01
1988.0,cote-d-or,D,22.05
1988.0,cote-d-or,ED,13.92
1988.0,cote-d-or,EG,12.25
1988.0,cote-d-or,G,35.75
1988.0,creuse,C,9.96
1988.0,creuse,D,28.21
1988.0,creuse,ED,7.79
1988.0,creuse,EG,19.23
1988.0,creuse,G,34.82
1988.0,deux-sevres,C,21.14
1988.0,deux-sevres,D,21.2
1988.0,deux-sevres,ED,7.49
1988.0,deux-sevres,EG,12.71
1988.0,deux-sevres,G,37.47
1988.0,dordogne,C,12.09
1988.0,dordogne,D,23.77
1988.0,dordogne,ED,9.81
1988.0,dordogne,EG,19.48
1988.0,dordogne,G,34.84
1988.0,doubs,C,15.63
1988.0,doubs,D,21.52
1988.0,doubs,ED,14.42
1988.0,doubs,EG,13.49
1988.0,doubs,G,34.95
1988.0,drome,C,17.11
1988.0,drome,D,18.34
1988.0,drome,ED,16.7
1988.0,drome,EG,16.24
1988.0,drome,G,31.61
1988.0,essonne,C,15.84
1988.0,essonne,D,19.34
1988.0,essonne,ED,14.98
1988.0,essonne,EG,16.89
1988.0,essonne,G,32.94
1988.0,eure,C,16.35
1988.0,eure,D,19.67
1988.0,eure,ED,14.04
1988.0,eure,EG,13.43
1988.0,eure,G,36.51
1988.0,eure-et-loir,C,17.61
1988.0,eure-et-loir,D,19.31
1988.0,eure-et-loir,ED,15.4
1988.0,eure-et-loir,EG,11.95
1988.0,eure-et-loir,G,35.74
1988.0,finistere,C,19.56
1988.0,finistere,D,20.92
1988.0,finistere,ED,9.92
1988.0,finistere,EG,13.89
1988.0,finistere,G,35.7
1988.0,francais-de-l-etranger,C,19.61
1988.0,francais-de-l-etranger,D,34.98
1988.0,francais-de-l-etranger,ED,9.56
1988.0,francais-de-l-etranger,EG,7.38
1988.0,francais-de-l-etranger,G,28.46
1988.0,gard,C,14.56
1988.0,gard,D,15.36
1988.0,gard,ED,20.59
1988.0,gard,EG,20.44
1988.0,gard,G,29.05
1988.0,gers,C,14.45
1988.0,gers,D,20.3
1988.0,gers,ED,10.68
1988.0,gers,EG,14.42
1988.0,gers,G,40.15
1988.0,gironde,C,15.59
1988.0,gironde,D,19.36
1988.0,gironde,ED,12.3
1988.0,gironde,EG,13.89
1988.0,gironde,G,38.86
1988.0,guadeloupe,C,10.56
1988.0,guadeloupe,D,25.31
1988.0,guadeloupe,ED,1.68
1988.0,guadeloupe,EG,7.42
1988.0,guadeloupe,G,55.02
1988.0,guyane,C,9.16
1988.0,guyane,D,30.56
1988.0,guyane,ED,4.71
1988.0,guyane,EG,3.62
1988.0,guyane,G,51.94
1988.0,haut-rhin,C,18.08
1988.0,haut-rhin,D,17.07
1988.0,haut-rhin,ED,21.71
1988.0,haut-rhin,EG,13.54
1988.0,haut-rhin,G,29.6
1988.0,haute-corse,C,12.05
1988.0,haute-corse,D,30.39
1988.0,haute-corse,ED,12.01
1988.0,haute-corse,EG,14.38
1988.0,haute-corse,G,31.18
1988.0,haute-garonne,C,14.74
1988.0,haute-garonne,D,16.79
1988.0,haute-garonne,ED,13.15
1988.0,haute-garonne,EG,14.97
1988.0,haute-garonne,G,40.35
1988.0,haute-loire,C,21.43
1988.0,haute-loire,D,21.0
1988.0,haute-loire,ED,14.08
1988.0,haute-loire,EG,13.52
1988.0,haute-loire,G,29.98
1988.0,haute-marne,C,15.62
1988.0,haute-marne,D,19.58
1988.0,haute-marne,ED,15.63
1988.0,haute-marne,EG,13.89
1988.0,haute-marne,G,35.28
1988.0,haute-saone,C,15.49
1988.0,haute-saone,D,20.12
1988.0,haute-saone,ED,13.85
1988.0,haute-saone,EG,13.11
1988.0,haute-saone,G,37.43
1988.0,haute-savoie,C,22.82
1988.0,haute-savoie,D,22.52
1988.0,haute-savoie,ED,15.47
1988.0,haute-savoie,EG,12.03
1988.0,haute-savoie,G,27.16
1988.0,haute-vienne,C,10.98
1988.0,haute-vienne,D,22.14
1988.0,haute-vienne,ED,7.84
1988.0,haute-vienne,EG,21.19
1988.0,haute-vienne,G,37.86
1988.0,hautes-alpes,C,19.81
1988.0,hautes-alpes,D,20.62
1988.0,hautes-alpes,ED,13.7
1988.0,hautes-alpes,EG,16.8
1988.0,hautes-alpes,G,29.07
1988.0,hautes-pyrenees,C,15.62
1988.0,hautes-pyrenees,D,18.34
1988.0,hautes-pyrenees,ED,9.93
1988.0,hautes-pyrenees,EG,18.26
1988.0,hautes-pyrenees,G,37.85
1988.0,hauts-de-seine,C,16.51
1988.0,hauts-de-seine,D,24.72
1988.0,hauts-de-seine,ED,14.77
1988.0,hauts-de-seine,EG,14.88
1988.0,hauts-de-seine,G,29.11
1988.0,herault,C,13.64
1988.0,herault,D,17.32
1988.0,herault,ED,19.91
1988.0,herault,EG,18.01
1988.0,herault,G,31.12
1988.0,ille-et-vilaine,C,20.4
1988.0,ille-et-vilaine,D,20.95
1988.0,ille-et-vilaine,ED,8.64
1988.0,ille-et-vilaine,EG,12.41
1988.0,ille-et-vilaine,G,37.61
1988.0,indre,C,14.65
1988.0,indre,D,19.87
