,Candidat,Departement,Parti,Score
0,Nicolas Sarkozy,ain,UMP,"34,50%"
1,Ségolène Royal,ain,PS,"20,67%"
2,François Bayrou,ain,UDF,"19,62%"
3,Jean-Marie Le Pen,ain,FN,"12,28%"
4,Olivier Besancenot,ain,LCR,"3,42%"
5,Philippe de Villiers,ain,MPF,"2,53%"
6,Dominique Voynet,ain,Les Verts,"1,73%"
7,Marie-George Buffet,ain,PCF,"1,34%"
8,José Bové,ain,DIV,"1,26%"
9,Frédéric Nihous,ain,CPNT,"1,16%"
10,Arlette Laguiller,ain,LO,"1,16%"
11,Gérard Schivardi,ain,PT,"0,33%"
12,Nicolas Sarkozy,aisne,UMP,"29,30%"
13,Ségolène Royal,aisne,PS,"23,42%"
14,Jean-Marie Le Pen,aisne,FN,"17,28%"
15,François Bayrou,aisne,UDF,"13,51%"
16,Olivier Besancenot,aisne,LCR,"5,49%"
17,Philippe de Villiers,aisne,MPF,"2,61%"
18,Arlette Laguiller,aisne,LO,"2,32%"
19,Marie-George Buffet,aisne,PCF,"2,03%"
20,Frédéric Nihous,aisne,CPNT,"1,34%"
21,Dominique Voynet,aisne,Les Verts,"1,19%"
22,José Bové,aisne,DIV,"1,08%"
23,Gérard Schivardi,aisne,PT,"0,42%"
24,Nicolas Sarkozy,allier,UMP,"28,06%"
25,Ségolène Royal,allier,PS,"25,64%"
26,François Bayrou,allier,UDF,"18,26%"
27,Jean-Marie Le Pen,allier,FN,"10,06%"
28,Olivier Besancenot,allier,LCR,"5,05%"
29,Marie-George Buffet,allier,PCF,"4,55%"
30,Philippe de Villiers,allier,MPF,"2,43%"
31,Arlette Laguiller,allier,LO,"1,55%"
32,Frédéric Nihous,allier,CPNT,"1,43%"
33,Dominique Voynet,allier,Les Verts,"1,32%"
34,José Bové,allier,DIV,"1,22%"
35,Gérard Schivardi,allier,PT,"0,42%"
36,Nicolas Sarkozy,alpes-de-haute-provence,UMP,"29,98%"
37,Ségolène Royal,alpes-de-haute-provence,PS,"25,24%"
38,François Bayrou,alpes-de-haute-provence,UDF,"16,59%"
39,Jean-Marie Le Pen,alpes-de-haute-provence,FN,"11,24%"
40,Olivier Besancenot,alpes-de-haute-provence,LCR,"4,28%"
41,Marie-George Buffet,alpes-de-haute-provence,PCF,"2,71%"
42,José Bové,alpes-de-haute-provence,DIV,"2,23%"
43,Philippe de Villiers,alpes-de-haute-provence,MPF,"2,16%"
44,Frédéric Nihous,alpes-de-haute-provence,CPNT,"2,03%"
45,Dominique Voynet,alpes-de-haute-provence,Les Verts,"1,71%"
46,Arlette Laguiller,alpes-de-haute-provence,LO,"1,21%"
47,Gérard Schivardi,alpes-de-haute-provence,PT,"0,62%"
48,Nicolas Sarkozy,hautes-alpes,UMP,"30,66%"
49,Ségolène Royal,hautes-alpes,PS,"24,49%"
50,François Bayrou,hautes-alpes,UDF,"19,80%"
51,Jean-Marie Le Pen,hautes-alpes,FN,"8,92%"
52,Olivier Besancenot,hautes-alpes,LCR,"4,16%"
53,José Bové,hautes-alpes,DIV,"2,48%"
54,Philippe de Villiers,hautes-alpes,MPF,"2,23%"
55,Dominique Voynet,hautes-alpes,Les Verts,"2,07%"
56,Frédéric Nihous,hautes-alpes,CPNT,"1,97%"
57,Marie-George Buffet,hautes-alpes,PCF,"1,86%"
58,Arlette Laguiller,hautes-alpes,LO,"1,00%"
59,Gérard Schivardi,hautes-alpes,PT,"0,37%"
60,Nicolas Sarkozy,alpes-maritimes,UMP,"43,59%"
61,Ségolène Royal,alpes-maritimes,PS,"17,90%"
62,François Bayrou,alpes-maritimes,UDF,"15,03%"
63,Jean-Marie Le Pen,alpes-maritimes,FN,"13,47%"
64,Olivier Besancenot,alpes-maritimes,LCR,"2,40%"
65,Philippe de Villiers,alpes-maritimes,MPF,"1,83%"
66,Marie-George Buffet,alpes-maritimes,PCF,"1,78%"
67,Dominique Voynet,alpes-maritimes,Les Verts,"1,43%"
68,José Bové,alpes-maritimes,DIV,"1,05%"
69,Arlette Laguiller,alpes-maritimes,LO,"0,77%"
70,Frédéric Nihous,alpes-maritimes,CPNT,"0,50%"
71,Gérard Schivardi,alpes-maritimes,PT,"0,24%"
72,Nicolas Sarkozy,ardeche,UMP,"27,64%"
73,Ségolène Royal,ardeche,PS,"25,14%"
74,François Bayrou,ardeche,UDF,"18,55%"
75,Jean-Marie Le Pen,ardeche,FN,"11,35%"
76,Olivier Besancenot,ardeche,LCR,"4,57%"
77,Marie-George Buffet,ardeche,PCF,"2,47%"
78,Philippe de Villiers,ardeche,MPF,"2,46%"
79,Frédéric Nihous,ardeche,CPNT,"2,29%"
80,José Bové,ardeche,DIV,"2,17%"
81,Dominique Voynet,ardeche,Les Verts,"1,66%"
82,Arlette Laguiller,ardeche,LO,"1,20%"
83,Gérard Schivardi,ardeche,PT,"0,50%"
84,Nicolas Sarkozy,ardennes,UMP,"29,04%"
85,Ségolène Royal,ardennes,PS,"24,56%"
86,Jean-Marie Le Pen,ardennes,FN,"16,20%"
87,François Bayrou,ardennes,UDF,"14,23%"
88,Olivier Besancenot,ardennes,LCR,"5,35%"
89,Philippe de Villiers,ardennes,MPF,"2,58%"
90,Arlette Laguiller,ardennes,LO,"2,20%"
91,Marie-George Buffet,ardennes,PCF,"1,88%"
92,Frédéric Nihous,ardennes,CPNT,"1,32%"
93,Dominique Voynet,ardennes,Les Verts,"1,29%"
94,José Bové,ardennes,DIV,"1,03%"
95,Gérard Schivardi,ardennes,PT,"0,31%"
96,Ségolène Royal,ariege,PS,"35,00%"
97,Nicolas Sarkozy,ariege,UMP,"21,91%"
98,François Bayrou,ariege,UDF,"15,74%"
99,Jean-Marie Le Pen,ariege,FN,"9,72%"
100,Olivier Besancenot,ariege,LCR,"5,07%"
101,Marie-George Buffet,ariege,PCF,"3,01%"
102,José Bové,ariege,DIV,"2,67%"
103,Frédéric Nihous,ariege,CPNT,"1,81%"
104,Philippe de Villiers,ariege,MPF,"1,67%"
105,Dominique Voynet,ariege,Les Verts,"1,52%"
106,Arlette Laguiller,ariege,LO,"1,15%"
107,Gérard Schivardi,ariege,PT,"0,72%"
108,Nicolas Sarkozy,aube,UMP,"35,15%"
109,Ségolène Royal,aube,PS,"19,69%"
110,François Bayrou,aube,UDF,"16,05%"
